feature,mi_score
f190486d6,0.12186731232226622
9fd594eec,0.11479804056035281
58e056e12,0.11333814191466685
491b9ee45,0.10952992373491721
190db8488,0.10934261847161908
f74e8f13d,0.1042964773394548
6619d81fc,0.10424753113050977
fb49e4212,0.10326608043747587
2ec5b290f,0.09609606280459637
e176a204a,0.09574824890453248
eeb9cd3aa,0.09361125750877619
241f0f867,0.09354053983994737
58e2e02e6,0.0935304133167083
0572565c2,0.09349721143805434
0ff32eb98,0.09268501522300099
d6bb78916,0.09174247516419776
024c577b9,0.09169991764777352
62e59a501,0.09010424920513227
1702b5bf0,0.09001456038359779
b43a7cfd5,0.08989581179839057
adb64ff71,0.08839449819356249
703885424,0.08800721216313656
91f701ba2,0.08760332385377101
26fc93eb7,0.08705849647102326
66ace2992,0.08695720096891435
15ace8c9f,0.08694987629463125
5c6487af1,0.08569976399456847
58232a6fb,0.08546513317543125
9306da53f,0.08520067918569629
c5a231d81,0.08220040231633696
963a49cdc,0.08217951964477388
c47340d97,0.08091710740940483
70feb1494,0.08090444141024822
23310aa6f,0.0808811640004019
6eef030c1,0.08068288902068232
277ef93fc,0.07553247636995164
1931ccfdd,0.075396928795469
fc99f9426,0.07403337288269674
ca2b906e8,0.07301712211046762
a09a238d0,0.07215096480180216
c8d582dd2,0.07123423094490411
b30e932ba,0.07003767244996251
324921c7b,0.0700283442816092
36a9a8479,0.06817148122208638
20aa07010,0.06798743710024802
02861e414,0.0674226491662735
350473311,0.06723717060561096
861076e21,0.06705815327398046
f97d9431e,0.06703446364315413
fb0f5dbfe,0.06694866676605793
1db387535,0.06654713206191909
13bdd610a,0.06453638163256814
850027e38,0.06350329525261755
83635fb67,0.062715515403448
935ca66a9,0.06193671657871258
e79e5f72c,0.06192289133927509
11e12dbe8,0.06154405940598684
c928b4b74,0.06084881895754801
bd6da0cca,0.06030642813472875
166008929,0.05991864558175397
e7c0cfd0f,0.05968443091687492
6c5c8869c,0.05944208800180362
9a07d7b1f,0.05833155699419579
1857fbccf,0.05809378029669454
a93118262,0.057069194299237846
95742c2bf,0.056978012432337355
06393096a,0.056517839648343005
1e6306c7c,0.055844320494202515
d83a2b684,0.055591943549652356
0c9462c08,0.05516118076007248
87ffda550,0.055006522189374074
32174174c,0.05484842523401312
27461b158,0.05471485585144964
d7d314edc,0.054663596849123364
74d7f2dc3,0.05449877477736753
c10f31664,0.054457775776438844
4d2671746,0.05440223370380459
be2e15279,0.05372341684657855
041c5d0c9,0.053466636588048955
6fa35fbba,0.05343079662612693
4bcf15776,0.05325692021633377
1c71183bb,0.05280814514156584
6d2ece683,0.05276126132488135
77deffdf0,0.05257037934268327
62fb56487,0.05250608867353712
3c8a3ced0,0.05245846634323614
8f57141ec,0.052203333899265125
8e4d0fe45,0.05204180779076051
e78e3031b,0.05197329582875354
b6c0969a2,0.0515752055077634
1fe5d56b9,0.05107575203057446
d48c08bda,0.050776138936108994
57dd44c29,0.050680707263323965
1fd0a1f2a,0.05063109041871927
ea772e115,0.05058534553769256
092271eb3,0.050543982268022036
6c0e0801a,0.04979971199480859
db3839ab0,0.04960831937153132
c0d2348b7,0.04909865578270356
822e49b95,0.048869306214689656
d5fa73ead,0.04870839102319646
5831f4c76,0.04819495912438665
9c42bff81,0.04794156756098089
5bc7ab64f,0.047818710196465775
8bd53906a,0.047433551494660664
f02ecb19c,0.04683970597411857
a61aa00b0,0.04682559716397394
ce3d7595b,0.046716173134462746
2e103d632,0.04584351618528815
251d1aa17,0.04560567244966096
0d51722ca,0.045169814628663874
3a48a2cd2,0.04514975448291736
d4c1de0e2,0.04484179548800249
bf042d928,0.04468379823266755
341daa7d1,0.044509266565248895
f14b57b8f,0.04447659957531935
96b6bd42b,0.044434913692526834
f3cf9341c,0.04426956000391247
a6b6bc34a,0.04403809589555552
b6daeae32,0.043961515122576955
dfd179071,0.04378893477956991
bdf773176,0.043759679166731624
9d5c7cb94,0.043583658945945514
30b3daec2,0.043525265143412595
44d5b820f,0.043514759403668
c8fdf5cbf,0.042879188306388594
e078302ef,0.04287848041835729
aac52d8d9,0.04281799055349689
c7525612c,0.042611535219082564
b4cfe861f,0.04257557646986343
